iter	MAE
0	0.9046780304
1	0.8699826901
2	0.8386700632
3	0.8072800925
4	0.7778419078
5	0.7497535071
6	0.7235447907
7	0.6981347371
8	0.6715421975
9	0.6486471944
10	0.6246209497
11	0.6038177662
12	0.5836859716
13	0.5637604977
14	0.542955402
15	0.5245629145
16	0.5069907599
17	0.4894041985
18	0.4739880749
19	0.4596475381
20	0.4467164282
21	0.4347560227
22	0.4229556044
23	0.4105275985
24	0.3990851271
25	0.3877053795
26	0.3780871942
27	0.3683824189
28	0.3596920994
29	0.3489962951
30	0.3397931323
31	0.3314168806
32	0.3235068801
33	0.3138933359
34	0.3076457669
35	0.3010232791
36	0.2948774769
37	0.2879015475
38	0.281239119
39	0.2755253412
40	0.2675656002
41	0.2620621647
42	0.2554767072
43	0.2505025062
44	0.2442645197
45	0.2388914602
46	0.232642623
47	0.2273197604
48	0.2223548157
49	0.2177579001
50	0.2122337884
51	0.2068430191
52	0.2012629013
53	0.196486187
54	0.1915420705
55	0.1881830906
56	0.1830542512
57	0.1782612131
58	0.1732242342
59	0.1689116333
60	0.1642169147
61	0.1596444952
62	0.1553437838
63	0.1516147312
64	0.1489811906
65	0.1455085082
66	0.1426844198
67	0.1388204244
68	0.136042342
69	0.1340012361
70	0.1308926722
71	0.128972578
72	0.1258435041
73	0.1244679513
74	0.1211544043
75	0.1180561245
76	0.115182118
77	0.1129595041
78	0.1100957544
79	0.1074294937
80	0.1051020114
81	0.1026986827
82	0.1011583877
83	0.1001120324
84	0.09948336272
85	0.09812380816
86	0.09583323047
87	0.09410438577
88	0.09292316521
89	0.0919225088
90	0.09116960399
91	0.08980269341
92	0.08839553979
93	0.08695549082
94	0.08569820203
95	0.0839874353
96	0.08258378419
97	0.08160096121
98	0.07996667623
99	0.07841732967
100	0.07772622307
101	0.07653202706
102	0.0759356162
103	0.07507959582
104	0.07402317315
105	0.07279098563
106	0.07200362337
107	0.07162367819
108	0.07125674217
109	0.07073538283
110	0.06974764351
111	0.06870932681
112	0.06786845711
113	0.06754468882
114	0.06663647068
115	0.06594004405
116	0.06516030438
117	0.06478505618
118	0.06396319141
119	0.06334213529
120	0.06286129758
121	0.06251467353
122	0.06199701096
123	0.06148665261
124	0.06110703029
125	0.06035000535
126	0.05960909278
127	0.05923175862
128	0.05847193001
129	0.05817825951
130	0.05785622434
131	0.05729948506
132	0.05657865273
133	0.05628375989
134	0.05606413223
135	0.0556378405
136	0.05531827313
137	0.05473449437
138	0.05439885071
139	0.05382776276
140	0.05364606619
141	0.05336650968
142	0.05297721752
143	0.05255527127
144	0.05217323413
145	0.05151015355
146	0.05093824055
147	0.05071612696
148	0.05011628402
149	0.04985496187
150	0.04954829254
151	0.04927437132
152	0.04880334161
153	0.04855555563
154	0.04835437913
155	0.04790909727
156	0.0474370858
157	0.04703264519
158	0.04664556396
159	0.04641959487
160	0.04620411902
161	0.04602046182
162	0.04574427837
163	0.04543987766
164	0.04513676191
165	0.04484399449
166	0.04450604726
167	0.0443713467
168	0.04418183984
169	0.04386099043
170	0.0435870927
171	0.04338534485
172	0.04319892786
173	0.04298185114
174	0.0428171728
175	0.04248412096
176	0.04226658567
177	0.04208259591
178	0.0419797722
179	0.04182246413
180	0.04169419357
181	0.04145255535
182	0.04136699939
183	0.04120062401
